country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
United States,1994,2278994,2259317,19677,100.8709269
Spain,1998,360511,357409,3102,100.8679132
Italy,2005,568328,563488,4840,100.8589358
Argentina,2017,341688,338780,2908,100.8583742
Italy,2004,545051,540418,4633,100.8572993
Dominica,1969,716,710,6,100.8450704
Spain,1997,349521,346597,2924,100.8436311
Chile,1969,84680,83975,705,100.8395356
Spain,1999,371102,368015,3087,100.8388245
Ireland,1992,30931,30674,257,100.8378431
Slovenia,1998,19039,18881,158,100.8368201
Ireland,1995,32259,31992,267,100.8345836
Spain,2006,371478,368414,3064,100.8316731
Spain,2005,387355,384161,3194,100.8314222
Ireland,2002,29683,29439,244,100.8288325
Luxembourg,1981,4160,4126,34,100.8240427
Ireland,1996,31723,31464,259,100.823163
Netherlands,2020,168678,167303,1375,100.8218621
Ireland,1991,31301,31046,255,100.8213619
United States,1995,2312132,2293366,18766,100.8182732
Antigua and Barbuda,2012,493,489,4,100.8179959
New Zealand,2004,28645,28413,232,100.8165276
Ireland,1999,32608,32345,263,100.8131087
Antigua and Barbuda,1999,500,496,4,100.8064516
Israel,1984,27805,27583,222,100.8048436
Italy,2013,599698,594922,4776,100.8027943
Italy,2008,581470,576842,4628,100.8022994
Slovenia,1997,18928,18778,150,100.7988071
Spain,2007,385361,382309,3052,100.7983071
Israel,2012,41877,41547,330,100.7942812
New Zealand,2009,29204,28974,230,100.7938151
Italy,2012,613520,608698,4822,100.7921827
Egypt,2015,573879,569391,4488,100.7882106
Slovenia,2013,19334,19183,151,100.7871553
Spain,2000,360391,357583,2808,100.7852722
Spain,1987,310073,307663,2410,100.7833246
Italy,2009,588438,583877,4561,100.7811577
Ireland,1993,32148,31899,249,100.7805887
Ukraine,2018,587665,583125,4540,100.7785638
United States,1996,2314690,2297000,17690,100.770135
Italy,2010,584615,580159,4456,100.7680653
Ireland,1994,30948,30713,235,100.7651483
New Zealand,1991,26490,26292,198,100.7530808
Italy,2011,594153,589769,4384,100.7433419
Ireland,1990,31370,31140,230,100.7385999
Spain,1988,319437,317101,2336,100.7366738
Sao Tome and Principe,1984,1231,1222,9,100.7364975
Ireland,1973,34192,33943,249,100.7335828
Puerto Rico,1963,17350,17225,125,100.7256894
Barbados,2005,2503,2485,18,100.7243461
Portugal,2000,105813,105056,757,100.7205681
Ireland,1981,32929,32694,235,100.7187863
Portugal,1995,103939,103213,726,100.7033998
Georgia,2010,47864,47530,334,100.7027141
Ireland,1983,32976,32748,228,100.6962257
Ireland,1972,34381,34144,237,100.694119
Portugal,1973,95435,94781,654,100.6900117
Portugal,1992,101161,100475,686,100.6827569
Portugal,1993,106384,105663,721,100.6823581
United Kingdom,2001,604393,600307,4086,100.6806517
Spain,2008,386324,383718,2606,100.6791446
Portugal,1988,98236,97575,661,100.6774276
North Macedonia,2006,18630,18505,125,100.6754931
Ireland,1989,32111,31896,215,100.6740657
Portugal,1989,96220,95578,642,100.6717027
Estonia,1994,22212,22064,148,100.6707759
United States,1997,2314245,2298834,15411,100.6703833
Norway,1958,31645,31435,210,100.6680452
Luxembourg,1968,4112,4085,27,100.6609547
Spain,2011,387911,385365,2546,100.6606723
Spain,1992,331515,329353,2162,100.6564385
Portugal,2001,105582,104894,688,100.6559002
Ireland,1979,33771,33551,220,100.6557182
Sri Lanka,1983,95174,94555,619,100.6546454
Australia,2010,143473,142544,929,100.6517286
Portugal,1974,97034,96407,627,100.6503677
New Zealand,2010,28649,28465,184,100.6464079
Romania,1996,286158,284331,1827,100.642561
Singapore,1984,13161,13077,84,100.6423492
Spain,1980,289344,287498,1846,100.6420914
Canada,1965,148939,147990,949,100.6412595
United States,1998,2337256,2322433,14823,100.6382531
Ireland,1980,33472,33260,212,100.6374023
Uruguay,1994,30186,29995,191,100.6367728
Portugal,1991,104361,103702,659,100.6354747
Slovenia,1996,18620,18503,117,100.6323299
Spain,1978,296781,294919,1862,100.6313598
Luxembourg,1967,4154,4128,26,100.629845
Portugal,1977,96111,95511,600,100.6281999
Ireland,1987,31405,31209,196,100.628024
Puerto Rico,1961,16361,16259,102,100.6273449
Ireland,1988,31580,31384,196,100.624522
Puerto Rico,1993,28492,28317,175,100.6180033
Spain,1982,286655,284895,1760,100.6177715
Spain,1993,339661,337577,2084,100.6173406
Italy,2016,618083,614303,3780,100.6153315
Ireland,1985,33213,33010,203,100.6149652
Puerto Rico,1989,25985,25827,158,100.6117629
New Zealand,1994,27095,26931,164,100.6089636
Czechia,2019,112362,111682,680,100.6088716
Slovenia,2015,19834,19715,119,100.6036013
Finland,1977,44276,44011,265,100.6021222
Cuba,1993,78531,78062,469,100.6008045
Canada,1966,149863,148971,892,100.5987743
New Zealand,1995,27956,27790,166,100.5973372
Chile,2003,83672,83178,494,100.593907
Italy,2015,646048,642236,3812,100.5935513
Spain,1991,337691,335723,1968,100.5861975
Ireland,1982,32457,32268,189,100.5857196
Spain,1989,324796,322918,1878,100.5815718
Spain,1986,310413,308624,1789,100.5796698
Portugal,1979,92732,92201,531,100.5759157
Armenia,2020,36170,35963,207,100.5755916
Spain,1990,333142,331236,1906,100.5754205
Saint Vincent and the Grenadines,1983,700,696,4,100.5747126
Portugal,1986,95828,95281,547,100.5740914
United Kingdom,2002,608045,604584,3461,100.5724597
Italy,2014,598670,595270,3400,100.5711694
Sweden,2004,91079,90564,515,100.5686586
New Zealand,2008,29312,29147,165,100.566096
Portugal,2008,104768,104180,588,100.5644078
Spain,2018,427721,425324,2397,100.5635704
Portugal,1997,105157,104571,586,100.5603848
Norway,1956,29981,29814,167,100.5601395
Israel,2010,39418,39199,219,100.5586877
Portugal,1978,96194,95661,533,100.5571759
Ireland,1977,33632,33447,185,100.5531139
Portugal,1987,95423,94904,519,100.5468684
Israel,2011,40668,40447,221,100.546394
Uruguay,1974,28287,28134,153,100.543826
United States,2000,2403351,2390401,12950,100.5417501
United States,2001,2416425,2403429,12996,100.5407274
Portugal,2003,109148,108562,586,100.5397837
Spain,2019,418703,416467,2236,100.5368973
Portugal,1980,94971,94470,501,100.5303271
Spain,2017,424523,422287,2236,100.5294977
New Zealand,2013,29636,29480,156,100.5291723
Portugal,1996,107259,106695,564,100.5286096
Luxembourg,1979,3995,3974,21,100.5284348
Portugal,1994,99621,99099,522,100.526746
Finland,2020,55498,55208,290,100.5252862
Malta,1991,2872,2857,15,100.5250263
United States,1999,2391399,2378946,12453,100.5234671
Malta,1993,2692,2678,14,100.5227782
Belgium,1981,112974,112387,587,100.5223024
Spain,1977,294324,292796,1528,100.5218651
Spain,2015,422568,420377,2191,100.5211988
Romania,1966,157445,156631,814,100.5196928
Portugal,1971,98688,98180,508,100.517417
Portugal,1985,97339,96838,501,100.5173589
Spain,1983,302569,301015,1554,100.5162533
Malta,2001,2935,2920,15,100.5136986
Luxembourg,1993,3916,3896,20,100.513347
Georgia,2017,47822,47578,244,100.5128421
Fiji,2008,6471,6438,33,100.5125815
Ireland,1974,34921,34743,178,100.5123334
Luxembourg,1972,4122,4101,21,100.5120702
Australia,1980,108695,108144,551,100.5095058
Portugal,1998,106574,106034,540,100.5092706
Israel,1996,34658,34483,175,100.5074964
Turkey,2017,423819,421687,2132,100.5055883
Uruguay,1983,28473,28330,143,100.5047653
Spain,1984,299409,297909,1500,100.5035095
Ireland,1978,33794,33625,169,100.5026022
Argentina,2019,341728,340033,1695,100.498481
Romania,1993,263323,262021,1302,100.4969067
Spain,1975,298192,296718,1474,100.496768
Portugal,1990,103115,102607,508,100.4950929
Israel,1995,35348,35174,174,100.4946836
Spain,2009,384933,383049,1884,100.4918431
Israel,1980,26278,26150,128,100.4894837
United Kingdom,1964,611130,608167,2963,100.4872017
Romania,1992,263855,262577,1278,100.4867144
Ireland,1969,33734,33571,163,100.4855381
Portugal,1976,102027,101535,492,100.484562
Portugal,2002,106690,106177,513,100.4831555
United States,2015,2712630,2699590,13040,100.4830363
New Zealand,2006,28389,28253,136,100.4813648
Hungary,2011,128795,128178,617,100.4813619
Spain,2016,410611,408659,1952,100.4776599
Guatemala,2016,82565,82176,389,100.4733742
Chile,2005,86102,85697,405,100.4725953
Portugal,1983,96367,95915,452,100.4712506
Estonia,2013,15374,15302,72,100.4705267
Portugal,2009,104964,104473,491,100.4699779
Portugal,1984,97227,96775,452,100.4670628
Ireland,1984,32076,31927,149,100.4666896
Slovenia,1995,18968,18880,88,100.4661017
Finland,1982,43582,43380,202,100.4656524
Iceland,2013,2158,2148,10,100.4655493
Spain,2014,395830,393997,1833,100.465232
Portugal,1972,90315,89897,418,100.4649766
Portugal,2013,106876,106382,494,100.4643643
Canada,1964,145850,145180,670,100.4614961
United Kingdom,2004,584791,582109,2682,100.4607385
Australia,1968,109547,109046,501,100.4594391
Armenia,2010,27921,27794,127,100.4569332
Finland,1981,44528,44326,202,100.4557145
Argentina,2006,292313,290998,1315,100.4518931
New Zealand,2012,30277,30141,136,100.4512126
Israel,2001,37187,37020,167,100.4511075
New Zealand,2011,30290,30154,136,100.4510181
New Zealand,1993,27211,27089,122,100.4503673
Spain,2013,390419,388671,1748,100.4497377
Finland,1983,45519,45316,203,100.4479654
United Kingdom,1965,627798,625005,2793,100.4468764
Iceland,2018,2258,2248,10,100.4448399
Argentina,2010,316298,314899,1399,100.4442694
Iceland,1986,1598,1591,7,100.4399749
United Kingdom,2003,612085,609420,2665,100.437301
Poland,1964,235919,234892,1027,100.4372222
South Korea,2005,245874,244811,1063,100.4342125
Portugal,1999,108268,107802,466,100.432274
Canada,1968,153196,152538,658,100.4313679
Norway,1951,27736,27617,119,100.430894
Portugal,1982,92551,92156,395,100.428621
Spain,2010,382047,380417,1630,100.4284772
Spain,1981,293386,292136,1250,100.4278829
Barbados,1974,2113,2104,9,100.4277567
Serbia,2007,102805,102368,437,100.4268912
Finland,1985,48345,48140,205,100.4258413
Spain,2012,402950,401253,1697,100.4229252
Finland,2004,47757,47556,201,100.4226596
Hong Kong,1963,19734,19651,83,100.4223704
Australia,1977,108790,108334,456,100.4209205
United States,2002,2443387,2433211,10176,100.4182128
Poland,1966,232945,231977,968,100.4172827
Malta,1984,2929,2917,12,100.4113816
Luxembourg,1971,4402,4384,18,100.4105839
Canada,1967,150283,149670,613,100.4095677
Portugal,2014,105219,104791,428,100.408432
United States,2003,2448288,2438341,9947,100.4079413
Canada,1970,155961,155330,631,100.4062319
Ireland,1967,31400,31273,127,100.4061011
Ireland,1970,33686,33550,136,100.4053651
Argentina,1969,223205,222306,899,100.4043975
Iceland,2017,2236,2227,9,100.4041311
Ireland,1976,34043,33906,137,100.4040583
Spain,1976,299007,297814,1193,100.4005856
Uruguay,1986,28772,28658,114,100.3977947
Finland,1986,47308,47121,187,100.3968507
Portugal,2007,103888,103478,410,100.3962195
Mexico,1970,485656,483743,1913,100.3954579
Poland,1961,227759,226864,895,100.3945095
Slovenia,2014,18886,18812,74,100.3933659
Romania,1968,188509,187775,734,100.3908934
Canada,1962,143699,143140,559,100.3905268
New Zealand,2007,28601,28490,111,100.3896104
Ireland,1968,33157,33029,128,100.3875382
Ireland,1971,31890,31767,123,100.3871943
Estonia,1982,17893,17824,69,100.3871185
New Zealand,1992,27252,27147,105,100.3867831
Ireland,1962,33838,33708,130,100.3856651
South Korea,1995,242838,241909,929,100.3840287
New Zealand,1980,26688,26586,102,100.3836606
Trinidad and Tobago,2011,9438,9402,36,100.3828973
Australia,1956,86088,85760,328,100.3824627
New Zealand,1990,26524,26423,101,100.3822427
Finland,1980,44513,44344,169,100.3811113
Hungary,1955,97848,97477,371,100.3806026
Finland,1979,43859,43693,166,100.3799236
Poland,1965,232421,231547,874,100.3774612
Australia,2011,146932,146380,552,100.3771007
Sweden,1999,95076,94721,355,100.3747849
Armenia,2015,27878,27774,104,100.3744509
South Korea,2004,246220,245302,918,100.3742326
Poland,1963,230072,229230,842,100.3673167
Sweden,1998,93628,93286,342,100.3666145
Ukraine,2007,762877,760091,2786,100.3665351
Canada,1963,147367,146829,538,100.3664126
Portugal,2016,110970,110566,404,100.3653926
Kuwait,1982,4992,4974,18,100.3618818
Poland,1967,247705,246812,893,100.3618139
Ukraine,2008,754460,751758,2702,100.3594242
France,2011,536628,534724,1904,100.3560715
Estonia,1999,18454,18389,65,100.3534722
Saint Lucia,1975,858,855,3,100.3508772
Ireland,1963,33795,33677,118,100.3503875
Poland,1962,239199,238371,828,100.3473577
Luxembourg,1975,4375,4360,15,100.3440367
Fiji,2006,6140,6119,21,100.3431933
Russia,1993,2129339,2122065,7274,100.3427793
Spain,1985,312532,311467,1065,100.3419303
Trinidad and Tobago,1997,9157,9126,31,100.3396888
Australia,1974,115833,115441,392,100.3395674
Portugal,1981,95892,95569,323,100.3379757
Poland,1959,252430,251584,846,100.3362694
Belgium,1982,112428,112052,376,100.3355585
Norway,2007,41963,41823,140,100.334744
Italy,2018,632940,630845,2095,100.3320943
North Macedonia,2004,17948,17889,59,100.3298116
Canada,1960,139693,139237,456,100.3274992
United Kingdom,1963,654288,652157,2131,100.3267618
Portugal,2012,107969,107622,347,100.3224248
Norway,1998,44270,44131,139,100.3149713
Spain,1979,290672,289760,912,100.3147432
Estonia,1997,18566,18508,58,100.313378
Iceland,1995,1923,1917,6,100.312989
Argentina,1988,252949,252162,787,100.312101
France,2005,527516,525879,1637,100.3112883
Portugal,2011,103203,102883,320,100.3110329
Finland,1978,43818,43683,135,100.3090447
Canada,1961,140985,140552,433,100.308071
New Zealand,1998,26457,26376,81,100.3070974
Slovenia,1994,19359,19300,59,100.3056995
Canada,1950,123789,123412,377,100.3054808
Chile,1971,83240,82987,253,100.304867
Australia,1951,81788,81541,247,100.3029151
Australia,1950,78187,77952,235,100.3014676
United Kingdom,2005,582964,581215,1749,100.3009213
Finland,2012,51737,51582,155,100.3004924
Norway,1959,31761,31668,93,100.2936718
Portugal,1975,97936,97650,286,100.2928827
Hungary,1958,97866,97581,285,100.2920651
Finland,1995,49325,49182,143,100.2907568
Australia,1975,109021,108707,314,100.2888498
Australia,1962,93163,92897,266,100.2863386
Portugal,2010,106242,105946,296,100.2793876
Estonia,1981,18349,18298,51,100.278719
Italy,2002,560390,558834,1556,100.2784369
Norway,1988,45404,45278,126,100.2782808
Canada,1959,139913,139525,388,100.2780864
United Kingdom,1997,629746,628023,1723,100.274353
Australia,2017,161083,160643,440,100.2738993
Portugal,2017,110191,109892,299,100.2720853
Czechia,2018,112920,112614,306,100.2717247
Slovakia,2008,53164,53021,143,100.2697045
Switzerland,2020,76195,75992,203,100.2671334
Antigua and Barbuda,1973,377,376,1,100.2659574
United Kingdom,2007,574687,573184,1503,100.2622195
Israel,2005,38897,38796,101,100.2603361
Australia,1992,122908,122590,318,100.2594013
Estonia,1985,19343,19293,50,100.2591614
New Zealand,2000,26718,26649,69,100.2589215
Switzerland,2012,64173,64008,165,100.2577803
Italy,1991,553833,552410,1423,100.2575985
Hong Kong,1959,20242,20190,52,100.2575532
Norway,1996,43919,43807,112,100.2556669
Argentina,2003,301870,301102,768,100.2550631
United Kingdom,1996,636007,634402,1605,100.2529942
Sweden,2013,90505,90277,228,100.252556
United States,2004,2397615,2391583,6032,100.2522179
Finland,2018,54523,54386,137,100.2519031
Finland,1987,47985,47865,120,100.2507051
New Zealand,1952,18896,18849,47,100.2493501
Norway,1967,36216,36126,90,100.2491281
France,2003,552335,550965,1370,100.2486546
Australia,1984,113312,113031,281,100.2486044
Hungary,2019,129603,129283,320,100.247519
Austria,2007,74625,74442,183,100.245829
Ireland,1966,35113,35027,86,100.2455249
Italy,2001,556892,555539,1353,100.2435473
Germany,1991,911245,909044,2201,100.2421225
United Kingdom,1998,629172,627654,1518,100.241853
Italy,1996,554576,553240,1336,100.2414865
Sweden,2017,92075,91854,221,100.2405992
United Kingdom,2011,552232,550909,1323,100.2401486
Estonia,2000,18403,18359,44,100.2396645
United Kingdom,2008,579697,578312,1385,100.2394901
Italy,1997,561207,559867,1340,100.2393426
Hungary,1957,103645,103398,247,100.2388828
Canada,1971,157272,156901,371,100.2364548
Ukraine,2004,761261,759468,1793,100.2360863
United States,2005,2448017,2442263,5754,100.2356012
Australia,1963,94894,94672,222,100.2344938
New Zealand,1951,18836,18792,44,100.2341422
United Kingdom,2016,597204,595812,1392,100.2336307
Norway,2008,41716,41619,97,100.2330666
Greece,2014,113740,113476,264,100.2326483
Australia,1959,89212,89005,207,100.2325712
Belgium,1986,112039,111784,255,100.2281185
Finland,1993,51028,50912,116,100.2278441
New Zealand,1950,18084,18043,41,100.2272349
United Kingdom,2012,569024,567739,1285,100.2263364
Australia,1973,110822,110577,245,100.2215651
Finland,2015,52302,52187,115,100.2203614
France,2004,509419,508305,1114,100.2191598
Canada,1958,135201,134907,294,100.2179279
Norway,1989,45241,45143,98,100.2170879
Norway,2003,42550,42458,92,100.2166847
Estonia,2001,18516,18476,40,100.2164971
Portugal,2015,108922,108687,235,100.2162172
United Kingdom,1966,643754,642372,1382,100.2151401
United Kingdom,2000,608366,607061,1305,100.2149702
Australia,1970,113048,112806,242,100.2145276
Italy,1998,574231,573018,1213,100.2116862
Ireland,1975,33173,33103,70,100.2114612
Estonia,2005,17316,17280,36,100.2083333
Belgium,1980,114033,113796,237,100.2082674
Australia,1982,114071,113838,233,100.2046768
Poland,1968,244115,243617,498,100.2044192
Slovakia,2002,51532,51427,105,100.2041729
Finland,1958,38833,38754,79,100.2038499
Australia,1955,82036,81870,166,100.2027605
Australia,1954,81805,81640,165,100.2021068
Finland,1989,49129,49030,99,100.2019172
Finland,1957,40741,40659,82,100.2016774
Italy,1969,539129,538045,1084,100.2014701
Iceland,1974,1495,1492,3,100.2010724
Canada,2000,218062,217626,436,100.2003437
Switzerland,1955,50366,50266,100,100.1989416
Finland,1971,45875,45784,91,100.1987594
Finland,2013,51478,51376,102,100.1985363
Slovenia,2016,19689,19650,39,100.1984733
Italy,2000,560121,559012,1109,100.1983857
Philippines,2019,620414,619189,1225,100.1978394
Italy,1965,518008,516986,1022,100.1976843
Ukraine,2009,706739,705347,1392,100.1973497
Australia,1996,128254,128002,252,100.1968719
Canada,2016,267213,266688,525,100.1968593
New Zealand,1953,18354,18318,36,100.196528
